order_id,item_id,product_id,quantity,list_price,discount,net_price
1,1,20,1,599.99,0.2,479.992
1,2,8,2,1799.99,0.07,1673.991
1,3,10,2,1549.0,0.05,1471.55
1,4,16,2,599.99,0.05,569.99
1,5,4,1,2899.99,0.2,2319.992
2,1,20,1,599.99,0.07,557.991
2,2,16,2,599.99,0.05,569.99
3,1,3,1,999.99,0.05,949.99
3,2,20,1,599.99,0.05,569.99
4,1,2,2,749.99,0.1,674.991
5,1,10,2,1549.0,0.05,1471.55
5,2,17,1,429.0,0.07,398.97
5,3,26,1,599.99,0.07,557.991
6,1,18,1,449.0,0.07,417.57
6,2,12,2,549.99,0.05,522.49
6,3,20,1,599.99,0.1,539.991
6,4,3,2,999.99,0.07,929.991
6,5,9,2,2999.99,0.07,2789.991
7,1,15,1,529.99,0.07,492.891
7,2,3,1,999.99,0.1,899.991
7,3,17,2,429.0,0.1,386.1
8,1,22,1,269.99,0.05,256.49
8,2,20,2,599.99,0.07,557.991
9,1,7,2,3999.99,0.1,3599.991
10,1,14,1,269.99,0.1,242.991
11,1,8,1,1799.99,0.05,1709.99
11,2,22,2,269.99,0.1,242.991
11,3,16,2,599.99,0.2,479.992
12,1,4,2,2899.99,0.1,2609.991
12,2,11,1,1680.99,0.05,1596.94
13,1,13,1,269.99,0.1,242.991
13,2,17,2,429.0,0.05,407.55
13,3,20,2,599.99,0.1,539.991
13,4,16,2,599.99,0.05,569.99
14,1,6,1,469.99,0.07,437.091
15,1,12,2,549.99,0.07,511.491
15,2,8,1,1799.99,0.07,1673.991
15,3,18,2,449.0,0.05,426.55
15,4,23,2,299.99,0.2,239.992
16,1,8,1,1799.99,0.2,1439.992
16,2,21,1,269.99,0.05,256.49
16,3,13,2,269.99,0.07,251.091
16,4,14,1,269.99,0.07,251.091
17,1,8,1,1799.99,0.07,1673.991
17,2,23,1,299.99,0.1,269.991
17,3,5,1,1320.99,0.1,1188.891
17,4,20,2,599.99,0.2,479.992
18,1,2,2,749.99,0.2,599.992
18,2,22,1,269.99,0.05,256.49
18,3,7,1,3999.99,0.1,3599.991
18,4,25,2,499.99,0.05,474.99
18,5,9,2,2999.99,0.1,2699.991
19,1,10,1,1549.0,0.07,1440.57
19,2,9,2,2999.99,0.2,2399.992
20,1,9,1,2999.99,0.07,2789.991
20,2,10,2,1549.0,0.07,1440.57
21,1,14,1,269.99,0.05,256.49
21,2,17,1,429.0,0.1,386.1
21,3,10,1,1549.0,0.07,1440.57
22,1,15,2,529.99,0.2,423.992
22,2,22,1,269.99,0.05,256.49
23,1,4,2,2899.99,0.05,2754.99
23,2,23,2,299.99,0.1,269.991
23,3,13,1,269.99,0.2,215.992
24,1,3,2,999.99,0.1,899.991
24,2,18,2,449.0,0.07,417.57
25,1,23,2,299.99,0.2,239.992
25,2,10,2,1549.0,0.2,1239.2
25,3,22,1,269.99,0.2,215.992
25,4,14,1,269.99,0.2,215.992
25,5,21,1,269.99,0.1,242.991
26,1,7,1,3999.99,0.05,3799.99
26,2,2,1,749.99,0.2,599.992
26,3,12,1,549.99,0.2,439.992
26,4,21,2,269.99,0.07,251.091
27,1,5,1,1320.99,0.2,1056.792
27,2,19,1,449.0,0.2,359.2
27,3,26,2,599.99,0.07,557.991
27,4,8,1,1799.99,0.07,1673.991
28,1,5,1,1320.99,0.05,1254.94
28,2,7,2,3999.99,0.2,3199.992
28,3,14,2,269.99,0.1,242.991
28,4,6,1,469.99,0.05,446.49
29,1,24,2,549.99,0.05,522.49
29,2,6,1,469.99,0.2,375.992
29,3,21,2,269.99,0.1,242.991
29,4,8,1,1799.99,0.2,1439.992
29,5,14,2,269.99,0.05,256.49
30,1,26,1,599.99,0.05,569.99
30,2,17,1,429.0,0.07,398.97
30,3,19,1,449.0,0.1,404.1
30,4,4,1,2899.99,0.1,2609.991
30,5,7,2,3999.99,0.1,3599.991
31,1,11,2,1680.99,0.05,1596.94
31,2,9,2,2999.99,0.2,2399.992
32,1,8,2,1799.99,0.07,1673.991
32,2,12,2,549.99,0.07,511.491
32,3,25,2,499.99,0.1,449.991
33,1,23,2,299.99,0.07,278.991
33,2,7,1,3999.99,0.1,3599.991
34,1,8,2,1799.99,0.07,1673.991
34,2,10,2,1549.0,0.1,1394.1
34,3,17,2,429.0,0.2,343.2
35,1,18,1,449.0,0.05,426.55
35,2,20,2,599.99,0.05,569.99
35,3,5,1,1320.99,0.2,1056.792
35,4,21,2,269.99,0.07,251.091
35,5,22,1,269.99,0.07,251.091
36,1,9,1,2999.99,0.07,2789.991
36,2,5,1,1320.99,0.05,1254.94
36,3,3,2,999.99,0.2,799.992
